,cos_sim,cos_sim_uint32,cos_sim_uint16,cos_sim_uint8
0,0.31189191341400146,0.31757100000000005,0.37050000000000005,0.8109999999999999
1,1.1920928955078125e-07,0.008579000000000003,0.08240000000000003,0.8109999999999999
2,0.3638739585876465,0.369676,0.4125,0.948
3,0.40127837657928467,0.406238,0.45089999999999997,0.902
4,0.0,0.00887899999999997,0.09009999999999996,0.855
5,0.0,0.009546999999999972,0.09630000000000005,0.755
6,0.0,0.008194999999999952,0.08899999999999997,0.9390000000000001
7,0.7416019439697266,0.7435860000000001,0.7603,0.842
8,-1.1920928955078125e-07,0.008738000000000024,0.07869999999999999,0.97
9,0.0,0.008373999999999993,0.08620000000000005,0.862
10,-1.1920928955078125e-07,0.008384999999999976,0.07769999999999999,0.873
11,0.7831659913063049,0.786399,0.8205,0.903
12,0.0,0.009549999999999947,0.07709999999999995,0.758
13,0.9613919295370579,0.961317,0.9616,0.973
14,0.5738139748573303,0.57775,0.615,0.894
15,1.1920928955078125e-07,0.008624999999999994,0.0806,0.857
16,0.3341968059539795,0.341298,0.40090000000000003,0.986
17,0.2349555492401123,0.24232699999999996,0.29969999999999997,0.831
18,0.29619652032852173,0.302917,0.3527,0.749
19,0.6797990798950195,0.6829000000000001,0.7173,0.8280000000000001
20,0.5013939738273621,0.506089,0.5402,0.913
21,0.49038445949554443,0.49408700000000005,0.5356000000000001,0.943
22,0.5176327228546143,0.5218130000000001,0.5583,0.765
23,-1.1920928955078125e-07,0.008851000000000053,0.07820000000000005,0.827
24,5.960464477539063e-08,0.009681999999999968,0.07340000000000002,0.89
25,0.0,0.00842900000000002,0.09319999999999995,0.917
26,0.3998833894729614,0.40551800000000005,0.4515,0.95
27,0.30887341499328613,0.315597,0.37960000000000005,0.885
28,0.0,0.008548,0.09750000000000003,0.78
29,0.4725998044013977,0.47597999999999996,0.5127999999999999,0.756
30,0.0,0.009213000000000027,0.08520000000000005,0.933
31,0.0,0.008279000000000036,0.08730000000000004,0.767
32,0.6058010458946228,0.608131,0.6327,0.8109999999999999
33,0.8886131048202515,0.889348,0.9025,0.94
34,0.40369391441345215,0.40879,0.45730000000000004,0.894
35,0.0,0.00880700000000001,0.08199999999999996,0.783
36,0.3282921314239502,0.33447800000000005,0.38939999999999997,0.8220000000000001
37,0.6214114427566528,0.624746,0.6536,0.786
38,0.4431147575378418,0.44805300000000003,0.49929999999999997,0.989
39,0.0,0.008978000000000042,0.08250000000000002,0.954
40,0.38853901624679565,0.394242,0.4506,0.938
41,0.27842891216278076,0.28467600000000004,0.3399,0.94
42,0.5657515823841095,0.569347,0.5958,0.9390000000000001
43,0.0,0.007271999999999945,0.0806,0.784
44,0.5462479591369629,0.550814,0.5879,0.838
45,0.5915845632553101,0.59529,0.6288,0.77
46,0.5319470167160034,0.536975,0.5704,0.823
47,0.2651113271713257,0.27140699999999995,0.32820000000000005,0.983
48,0.8477308601140976,0.8496589999999999,0.8644000000000001,0.931
49,0.0,0.008645000000000014,0.08689999999999998,0.877
50,0.6961391270160675,0.698638,0.7251000000000001,0.95
51,0.7087253034114838,0.709889,0.7343,0.937
52,0.3638739585876465,0.369676,0.4125,0.948
53,0.9477530270814896,0.947728,0.9414,0.952
54,0.755805104970932,0.758318,0.7781,0.982
55,0.6205631494522095,0.624166,0.6622,0.974
56,0.4853864908218384,0.490931,0.536,0.859
57,0.6807158589363098,0.684103,0.7106,0.751
58,0.13888508081436157,0.146775,0.21509999999999996,0.767
59,5.960464477539063e-08,0.009626000000000023,0.08819999999999995,0.834
60,5.960464477539063e-08,0.008642000000000039,0.08709999999999996,0.874
61,0.4328269958496094,0.438662,0.484,0.8140000000000001
62,0.5992838144302368,0.602986,0.6273,0.786
63,0.5544000864028931,0.558581,0.5966,0.925
64,0.5966381132602692,0.5993299999999999,0.6254,0.97
65,0.15685296058654785,0.163837,0.2288,0.933
66,-1.1920928955078125e-07,0.008306999999999953,0.08819999999999995,0.795
67,0.9180024713277817,0.918913,0.9294,0.8089999999999999
68,0.519587904214859,0.52374,0.5591999999999999,0.9
69,0.636240541934967,0.639454,0.6702,0.902
70,0.9156160429120064,0.917237,0.9295,0.925
71,0.37494945526123047,0.38029,0.43179999999999996,0.81
72,0.47746115922927856,0.48110299999999995,0.5234,0.759
73,0.4210653305053711,0.42629399999999995,0.4706,0.99
74,0.0,0.009445999999999954,0.0958,0.91
75,0.44901514053344727,0.45394599999999996,0.4991,0.994
76,1.1713422536849976,-4293.797175,-5.4074,0.881
77,0.579859733581543,0.5840449999999999,0.6248,0.789
78,5.960464477539063e-08,0.009081000000000006,0.0978,0.8009999999999999
79,0.7812789976596832,0.783505,0.8039000000000001,0.825
80,0.3824266195297241,0.38807499999999995,0.43310000000000004,0.915
81,0.43254172801971436,0.438531,0.48560000000000003,0.9390000000000001
82,0.0,0.010110999999999981,0.08089999999999997,0.8069999999999999
83,0.7089431881904602,0.711967,0.7295,0.967
84,0.6780321896076202,0.6799850000000001,0.7021,0.985
85,0.28762203454971313,0.294648,0.35740000000000005,0.928
86,1.02801363915205,-4293.940273,-5.5284,0.887
87,0.24440914392471313,0.25142200000000003,0.31100000000000005,0.966
88,0.0,0.009549999999999947,0.09209999999999996,0.758
89,0.5464087426662445,0.550807,0.5791,0.831
90,0.6021715104579926,0.606061,0.6397999999999999,0.789
91,0.6941189765930176,0.6962010000000001,0.7138,0.817
92,0.542259931564331,0.546729,0.5832999999999999,0.849
93,0.5058512091636658,0.51039,0.5535,0.862
94,0.0,0.009942000000000006,0.0877,0.894
95,0.32943201065063477,0.33522399999999997,0.39180000000000004,0.8
96,0.47685158252716064,0.48263599999999995,0.5368999999999999,0.756
97,0.0,0.009448000000000012,0.08550000000000002,0.912
98,0.4936106204986572,0.498795,0.5470999999999999,0.787
99,0.7300248146057129,0.73177,0.7533,0.802
